,Hasil-Stemming,sentiment,sentiment_score
866,Ganjar Pranowo Alam personally whips poor opponents Ganjar Mahfud supports positive steps,negatif,-0.057575757575757586
867,warmly welcome the candidate to lead the Boyolali ganjar,postif,0.8
868,I hope Mahfud will be ganjared for choosing Alftiha,netral,0.0
869,Gayengco come on the teacher incentives are really great every day Mahfud,postif,0.8
870,First debate Ganjar Pranowo power hopefully it will run smoothly set the gas and then choose the gasss number Ganjarmahfud great Mahfud,postif,0.4833333333333334
871,Erasmus aims to give concrete examples of laws etc. Great Mahfud,postif,0.47500000000000003
872,poljokesid harun mas laughed when he saw how great mahfud was,postif,0.75
873,cool ganjar for the prosperity of the great people Mahfud,postif,0.575
874,ganjar pranowo is really cool it should be great creative development mahfud,postif,0.5499999999999999
875,It's simple to ganjar residents for staying at home rarely for presidential candidates,postif,0.15
876,Surabaya era gayengco is good watch out Jokowi is gone great mahfud,postif,0.75
877,healthy and well pray for Mahfud to win,postif,0.65
878,Windah Basudara watch Raditya Dika's weigh-in that's how you answer,netral,0.0
879,The residents of Ganjar's accommodation feel at home there the presidential candidate is cool,postif,0.35
880,Mahfud was really ganjared for working well his integrity was ganjared by Mahfud's great brush with corruption,postif,0.5
881,gama the best reliable people bismillah win continued all cheap great mahfud,postif,0.75
882,eh ganjar me for meeting the original sultan,postif,0.375
883,great fagtng people choose people ganjarbrushcorruption continueganallcheap staplescontinueganallwork mohmahfudmd sohlyhrah great mahfud,postif,0.8
884,Jellicent wins Gangarsikat Corruption continued all cheap continued all great work Mahfud,postif,0.5
885,Let's have fun dancing and joining the youth development program Ganjar Pranowo program,postif,0.3
886,narkosun debate sat set Indonesia superior zdandunrld great mahfud,postif,0.75
887,Sekat Hepi community communication is great Mahfud,postif,0.8
888,Pranowo's ganjar is a figure of dedication to achieving the prosperity of the people,netral,0.0
889,You're really cute you're great Mahfud,postif,0.65
890,I hope the program will work,netral,0.0
891,Giselhansel Ganjar Pranowo Rosiannahi Ganjar is proud to be the great leader of Mahfud,postif,0.8
892,Ganjar Pranowo Mahfud MD leads the country's hopes for the undergraduate poor family program with real proof of caring,negatif,-0.1
893,ganjar Mahfud for advancing umkm friends ganjar generation mutual cooperation ganjar president ganjar for all ganjar mahfud rfreith great mahfud,postif,0.8
894,Thank you Ganjar for visiting Boyolali I wish you happiness,postif,0.7
895,Ganjar Pranowo supports local MSMEs Ganjar Besar Mahfud,netral,0.0
896,Great great gass Mahfud,postif,0.8
897,Prabowo hits the buzzer,netral,0.0
898,Gusraharjo Ganjar changes the people friendly smiling simple very healthy great Mahfud,postif,0.45625
899,What is Sri Sultan's ganjar for an inspirational figure for leading?,postif,0.5
900,arsjadrasjid mohmahfudmd commitment to support the development of great SMEs mahfud,postif,0.8
901,Wiyana Bahrawi a little bit of the survey was discussed what was the story the answer the results of the survey did not appear Prabowo supported NGO,negatif,-0.1875
902,Jogja is special in its hospitality,postif,0.35714285714285715
903,utami raharjo enthusiasm,netral,0.0
904,ganjar Pranowo for changing the odds,netral,0.0
905,you're talking nonsense,netral,0.0
906,Ganjar Pranowo Mahfud MD enthusiasm against poverty inspiration for vocational programs real steps,postif,0.25
907,People's candidates choose to stay in local homes rather than hotels in the spirit of supporting Gangar,postif,0.125
908,gaspoll,netral,0.0
909,Ganjar Pranowo this is a healthy way to visit the great citizen Mahfud directly,postif,0.46666666666666673
910,great great mafud,postif,0.8
911,people think Mahfud's actions are great,postif,0.8
912,ganjar pranowo's life story is evidence of change in the surrounding area,netral,0.0
913,jijindut mohmahfudmd choose gas number and gasssganjarmahfud great mahfud,postif,0.8
914,Hopefully in the future Indonesia will progress in all fields,netral,0.0
915,Gasspoll supports ganjar for great president,postif,0.8
916,jcayah entrusts the late Jokowi with meykerta documentation,negatif,-0.3
917,It's true that he has decided what ganjar the president of which country he will receive,postif,0.35
918,twilight loid intonation tone body gesture oration the best great mahfud,postif,0.9
919,ok mohmahfudmd continue all the great work mahfud,postif,0.65
920,ganjar Pranowo choose to care for the people sweet promises bmafrud ganjar brushcorruption continue all prosperous continue all work ganjar the president mhwcqml great mahfud,postif,0.575
921,bellamy near om the sin of defamation multiplied,postif,0.1
922,fagtng mohmahfudmd greetings great finger mahfud,postif,0.8
923,cool my brother is so nervous that he can't bear to see Mahfud's greatness,postif,0.35
924,utami raharjo the spirit of Gangar,netral,0.0
925,indeed ran salam the name of the campaign until the vision mission read uu cook campaign delivery of the vision mission event deb,netral,0.0
926,Congratulations for breaking through the good ganjar program for winning spins,postif,0.6
927,amefunee young enthusiasm supports the great Mahfud's ganjar Mahfud,postif,0.45
928,erte bellamy tni is not body shaming yet you are more handsome I don't dare to show my face,postif,0.5
929,Bachelor's Poor Family Program Progressive Steps to Create Equalization of Opportunity for Educators Ganjar Pranowo Mahfud MD Good luck xii,postif,0.14999999999999997
930,Jogja is special thanks to the wisdom of Sri Sultan the development of tourism culture,postif,0.2785714285714286
931,Ganjar Pranowo Indonesia lucky figure as a candidate to lead Gangar thank you for helping the local people to realize the construction of a great artesian well Mahfud,postif,0.5083333333333333
932,Kompascom ganjars Pranowo great Mahfud,postif,0.8
933,The right path is playing a judge in the middle of the road the brain reprimands advice conduct control and the legal process,postif,0.1619047619047619
934,Ganjar Pranowo's dedication seems like the community is happy to continue all of Mahfud's great work,postif,0.8
935,Why do kidnappers support illegitimate children? How come the constitution supports the logic of deviating the minds of the families of the victims of kidnappers,netral,0.0
936,It's very nice to see what kind of ganjar Sri Suktan has received from the Jogja community as well,postif,0.69
937,It's fun to stay in people's homes,postif,0.3
938,win this is a good program,postif,0.75
939,Sri Sultan Teach Local Arif Asset Prices in Jogja are unique and special,postif,0.24404761904761907
940,spirit versus poverty ganjar pranowo mahfud md motivation let's support positive steps,postif,0.22727272727272727
941,nongandah gas Gangar Gangarsikatcorruption continued all prosperous continued all great work Mahfud,postif,0.8
942,quality program for presidential candidates ganjar quality,netral,0.0
943,arsjadrasjid mohmahfudmd very cool merchandise ganjar mahfud works sell umkm local product quality guaranteed not canned canned great mahfud,postif,0.4183333333333333
944,great people may you be inspired,postif,0.8
945,alterjasindex is not yet strong emotionally great Mahfud,postif,0.6166666666666667
946,Ganjar Pranowo leads Central Java to maintain standards of excellence report LHKPN create a trace of integrity be proud Gangarsikat corruption jluxcuus great Mahfud,postif,0.5333333333333333
947,The results of Ganjar Pranowo the governor are proof that he is able to manage positive community impact programs Ganjar Mahfud Let's Innovation,postif,0.36363636363636365
948,@santorinissun nicht nach great mahfud,postif,0.8
949,Great people gather to get the blessing of the Indonesian president,postif,0.8
950,Sri Sultan's spirit of local wisdom in Jogja is special,postif,0.17857142857142858
951,hansssolo truck steering responsibility pranowo people trust trust work smoothly heart salute finger salute democracy nfxzonweyp great mahfud,postif,0.6000000000000001
952,come on mohmahfudmd arsjadrasjid sanduno puanmaharaniri pdistruggle spirit results uncle below are great mahfud,postif,0.8
953,ganjar for big mistakes Mahfud,netral,0.0
954,it was like being squeezed by burning coals from right and left Mahfud's great,postif,0.36190476190476195
955,ganjar pranowo ganjar just became the leader of the state the ins and outs of the district came to help the hardships are great mahfud,postif,0.8
956,the spirit of ganjar prayer to support the Indonesian people is full of ganjar,postif,0.35
957,Pranowo's ganjar I'm glad to see Mahfud's great side of political ganjars,postif,0.43333333333333335
958,good program for the world of education please support it,postif,0.7
959,WB TNI Polri thoroughly investigated the fair guard,postif,0.7
960,arsjadrasjid mohmahfudmd really cool merchandise or youth jackets really great mahfud,postif,0.575
961,sri sultan is an exemplary leader who inspires people,netral,0.0
962,The people's happiness is so radiant and ganjaring to see the children so enthusiastic Mahfud is great,postif,0.6999999999999998
963,utami raharjo enthusiastic,postif,0.6
964,Ganjar Pranowo is individual evidence of students' actualization potential,netral,0.0
965,The results of Pranowo's ganjar as governor are evidence of a positive track record,postif,0.22727272727272727
966,Workshopdodo Jokowi MohmahfudMD wears the clothes of Sugiono's great grandfather Mahfud,postif,0.8
967,Ganjar Pranowo Mahfud MD the team needs to bring positive change to the country,postif,0.22727272727272727
968,Ganjar Pranowo is proof that true leadership brings positive change to society,postif,0.28863636363636364
969,young people Ganjar Pranowo Mahfud MD lead inclusively,postif,0.1
970,Undergraduate Poor Family Program Gebrak Ganjar Pranowo Mahfud MD Let's achieve positive change,negatif,-0.08636363636363638
971,Pranowo's ganjar is getting funnier as if his bestie immediately sticks to it Mahfud is so great,postif,0.8
972,Ganjar Pranowo's vocational program contributes to the level of community prosperity Ganjar Mahfud hopes the vision develops,postif,0.3
973,teddgus mohmahfudmd teddgus debate don't look noh your presidential candidate is like a great vegetable chicken mahfud,postif,0.10000000000000003
974,Ganjar Pranowo Kaesangp Erinagudono Partaipetapora Sheilaon Gangar Vision Gangar Gangar Great Thinking Mahfud,postif,0.8
975,I hope the ganjar pranowo vocational program is an example of the ganjar mahfud district believing that Indonesia will lead the way,postif,0.3
976,ganjar Pranowo a figure who brings one national religion,netral,0.0
977,arsjadrasjid mohmahfudmd supports MSMEs' great progress mahfud,postif,0.8
978,The morning smile of Jakaa residents is the charm of Mahfud's great greeting,postif,0.55
979,great mahfud,postif,0.8
980,Griselruiz MohmahfudMD Tweet Skatuu Kopikumantap Rahmatinuddin Jokowi's effect is really great Mahfud,postif,0.8
981,vision and mission of Ganjar Pranowo superior human resources level community welfare level Gangarcareliekononinkri Gangarcareliekononinkri HDajnlyd Great Mahfud,postif,0.5
982,People think they are ganjaring Mahfud's great good role model,postif,0.75
983,Gusraharjo ganjars people for being consistent with a simple attitude ganjars for eradicating corruption principally optimistic supports Mahfud's great ganjar,postif,0.35000000000000003
984,witty looking for support,postif,0.5
985,The enthusiastic smiles of the morning residents of Jakaa are the spirit of Mahfud's great ganjar,postif,0.7
986,ganjar Pranowo thank God the burden on the people there is very light Mahfud,postif,0.52
987,good ganjar pranowo friend ganjar pcmrslsnr great mahfud,postif,0.75
988,ganjar is very cool wearing Indonesian batik I hope you are healthy ganjar,postif,0.4775
989,arsjadrasjid mohmahfudmd good luck with your business selling well thank you for supporting great umkm mahfud,postif,0.5833333333333334
990,utami raharjo how is this?,netral,0.0
991,dream of easy access to education from dream of breakthrough or ganjar or mahfud,postif,0.43333333333333335
992,vonnycornellya systematic structure of great sis mahfud,postif,0.8
993,undergraduate poor family program brilliant initiative gajar pranowo mahfud md moga community impact steps v,postif,0.25
994,You're brave you're great Mahfud,postif,0.8
995,arsjadrasjid mohmahfudmd good luck with Ganjar Mahfud's merchandise great success for Mahfud's future,postif,0.45
996,arsjadrasjid mohmahfudmd congratulations on the launch of cool Ganjar merch great local product Mahfud,postif,0.3833333333333333
997,what's digital downstream?,netral,0.0
998,Ganjar Pranowo leads education paper pen build Ganjar Mahfud builds the people,netral,0.0
999,Chairman of Bappilu Sandiaga Uno commits to support presidential candidate vice presidential candidate serial number Ganjar Pranowomahfud MD,netral,0.0
1000,The success of the undergraduate poor family program Ganjar Pranowo Mahfud MD hopefully the steps will have a positive impact on society,postif,0.04242424242424241
1001,I hope it will happen may God ganjar Mahmud for winning the presidential election,postif,0.5
1002,Yesterday the slander of the candidate pairs was slanderous supported the behavior supported the number really cooked broke the law supported sanely didn't flare up the soup,postif,0.2
1003,Fully support the poor family program with Ganjar Pranowo Mahfud MD hopefully this step will bring hope to the community,negatif,-0.4
1004,support Ganjar Pranowo presidential candidate to inspire the younger generation,netral,0.0
1005,The spirit of ganjar uses an intimidation education campaign there is no substance don't listen to the voices of the haters,netral,0.0
1006,Educate the basics of changing the ganjar of Pranowo Mahfud MD thank you for your efforts to create intelligent competitiveness for Indonesia,postif,0.8
1007,Ganjar Pranowo inspiring family struggle Ganjar Mahfud's role model let's build Indonesia,postif,0.5
1008,gaskennn ganjars prayers to support the Indonesian people,netral,0.0
1009,Gusraharjo Ganjar great great Mahfud,postif,0.8
1010,Ganjar Pranowo's vocational program needs a complex job market Ganjar Mahfud let's build a resilient Indonesia,netral,0.0
1011,The presidential candidate's ganjar was received by Sri Sultan,netral,0.0
1012,The program hopes that students from developed countries will have quality human resources,postif,0.05
1013,Ganjar Pranowo Rosiannahi I'm Mas Alam Gangar is really an idol he's not handsome he explains how cool he is no wonder young people are great fans Mahfud,postif,0.24000000000000005
1014,ganjar the presidential candidate for good health,postif,0.7
1015,wb tni polri trigger more people passing by on the road and the sound is louder and wake up guys,postif,0.45
1016,Ganjar Pranowo next president Bimbim Slank thank you openly pioneer drummer Slank Bimbim calls Ganjar Pranowo Next President,netral,0.0
1017,Ganjar Pranowo Kaesangp Erinagudono Partaipestapora Sheilaon Gangar Gangar Role Model Great Success Mahfud,postif,0.55
1018,I don't think hard I'm just satisfied to see them being beaten by the security guards I don't dare to arrest them.,postif,0.05277777777777778
1019,Support Ganjar Pranowo Mahfud MD please Indonesia,netral,0.0
1020,Dancing and dancing are fun for young people who need a real program to help with the Pranowo ganjar program,postif,0.20000000000000004
1021,ganjar the people's programs,netral,0.0
1022,Ganjar Pranowo Mahfud MD hopes that Indonesia's undergraduate vocational program for poor families will take wise steps to achieve their goals,postif,0.19999999999999996
1023,Ganjar Pranowo is proof of leading close to the community,netral,0.0
1024,help people support program,netral,0.0
1025,tc rk air combat account collapsed consistently ground,postif,0.25
1026,the results of the governor's ganjar for Pranowo the result of hard work commitment to bring positive change ganjar Mahfud let's continue the journey together he,negatif,-0.03219696969696971
1027,Ganjar Pranowo leads the teaching for instant results the struggle for education Ganjar Mahfud guides the people to achieve results together,netral,0.0
1028,Mahfud MD Ganjar Pranowo hopes that illegal lending will set a precedent,negatif,-0.5
1029,Ganjar Pranowo Najwa Shihab TV narrative Gangar a great reliable solution Mahfud,postif,0.8
1030,mujani forgot megawati juang candidate put up presidential candidate vice presidential candidate idol collaborates with candidate mahfud md team leader wins,postif,0.3
1031,Kiki Daliyo Ganjar Pranowo Ganjar leads to understand the values ​​of Pancasila great Mahfud,postif,0.8
1032,The friendly presidential candidate once visited a remote area,postif,0.1375
1033,support young people Ganjar Pranowo Mahfud MD reflects positive change in the business sector,postif,0.16363636363636364
1034,ganjar pranowo inspires people to prove their background prevents them from achieving success,postif,0.3
1035,mujani forgot megawati juang candidate put up presidential candidate vice presidential candidate idol collaborates with candidate mahfud md chairman,netral,0.0
1036,let's hit the great dancer Mahfud,postif,0.8
1037,Hopefully the undergraduate poor family program will encourage big changes in the ganjars of Pranowo Mahfud MD thank you for progressive steps,negatif,-0.2
1038,nongandah romantic ganjar bu atikoh great mahfud,postif,0.4
1039,ganjar Pranowo for the creativity of the children of the great nation Mahfud,postif,0.8
1040,please ganjar the people's discussion,netral,0.0
1041,mujani forgot megawati juang candidate put up presidential candidate vice presidential candidate idol collaborates with candidate mahfud md team leader wins prabo,postif,0.3
1042,Yogyakarta is a special city with lots of history,postif,0.35714285714285715
1043,ganjar Pranowo Mahfud MD I hope you have the courage to dedicate positive results to the country,postif,0.22727272727272727
1044,The target of the police looks like they are so quiet and don't dare to arrest sympathizers using exhausts they disturb the people beat them I support them they are really disturbing,negatif,-0.18333333333333335
1045,The city of Jogjakarta is a special city hopefully it will ganjar you with victory,postif,0.35714285714285715
1046,WB TNI Polri beat why,netral,0.0
1047,The results of the Poor Family Scholars Program create a change in Indonesia's social structure. Ganjar Pranowo Mahfud MD fully supports it,negatif,-0.18333333333333335
1048,The results of the Javanese vocational program prove that Ganjar Pranowo belongs to the vision of the level of quality of human resources Ganjar Mahfud continues to work on,postif,0.15
1049,Ganjar Pranowo Mahfud MD team to bring poor Indonesians to education let's make our dreams come true together,negatif,-0.025000000000000022
1050,Ganjar Pranowo is an inspirational figure in society,postif,0.5
1051,Ganjar Pranowo's story about the phenomenon of the diotatik survey Ganjar Mahfud wins the people with the people's money enthusiasm enthusiasm emerges belief in fighting,postif,0.3
1052,great campaign team leader social media bot account likes trending topics bot account collar,postif,0.4166666666666667
1053,Ganjar Pranowo Mahfud MD thank you for your real commitment to the healthy level of successful people,postif,0.48333333333333334
1054,the result of ganjar pranowo governor is proof of commitment to create living conditions ganjar mahfud let's keep fighting,netral,0.0
1055,Ganjar Pranowo is an inspirational figure for young students fighting for their education,postif,0.3
1056,Youth dancing needs a creative program that responds to the Pranowo ganjar program,postif,0.5
1057,Thank God Indonesia belongs to Pimpin's intention to lead Indonesia,netral,0.0
1058,Tweets may still be very populist politically but now that the world is very advanced it's not necessarily good to have a vision of the world,postif,0.0925
1059,Ganjar Pranowo is proof that vocational education is a real solution for poor children,postif,0.033333333333333326
1060,Undergraduate poor family program is a concrete effort to punish Pranowo Mahfud MD for educational inequality,netral,0.0
1061,I'm curious about the level of conversation like Sri Sultan Ganjar talking about,negatif,-0.1
1062,fully support Ganjar Pranowo Mahfud MD's vocational program wise steps to produce superior human resources,postif,0.425
1063,utami raharjo oh kucluk buzzerp prabowo,netral,0.0
1064,He said it wasn't wrong to tell him to listen to the exhaust with his ears don't be reckless on the road,negatif,-0.5
1065,aruan cim mahfud your brain is stupid bong pretend I'm smart,negatif,-0.2928571428571428
1066,Ganjar Pranowo the spirit of inspiring people Ganjar Mahfud let's achieve real progress,postif,0.35
1067,Must go to the national level to ganjar Pranowo guys get a great comment column Mahfud,postif,0.8
1068,Ganjar Pranowo Mahfud MD Tandem is suitable to take Indonesia in the direction of the poor family graduate program hopefully it will be an effective solution,postif,0.25
1069,Jogja is a special historical area for Jogja's children,postif,0.17857142857142858
1070,Ganjar Pranowo leads the main educational foundation for change,postif,0.20833333333333331
1071,Ganjar Pranowo Initiation Vocational Program Proof of Practical Education Key to Ganjar Mahfud's Results Let's Widespread Prosperous Program,postif,0.15
1072,poor family program undergraduate progressive solutions gajar pranowo mahfud md may the example steps lead me,negatif,-0.4
1073,cool ganjar invite,postif,0.35
1074,Why would you be afraid to see the people vote in February wouldn't you of course be sure of winning,postif,0.13333333333333333
1075,Ganjar Pranowo Mahfud MD installed to bring enthusiasm to the problem of poor priests,negatif,-0.4
1076,utami raharjo masyaallah people,netral,0.0
1077,low mujani saiful mujani mindset forgot megawati juang candidate put up presidential candidate vice presidential candidate idol team up with candidate mahfud md sis,netral,0.0
1078,Mahfud's great light stroke,postif,0.6000000000000001
1079,Utami Raharjo Look at that Miss Kikii,netral,0.0
1080,Ganjar Pranowo drops of artesian well water are a blessing for Muncang village. Let's maintain the benefits of Mahfud's great wisdom,postif,0.8500000000000001
1081,Really cool program really salute Mahfud's ganjar program,postif,0.275
1082,Undergraduate Poor Family Program Creates Smart Generation Ganjar Pranowo Mahfud MD Breakthrough,negatif,-0.09285714285714287
1083,The results of the program for poor families to create a jump in the quality of life of the children of the Ganjar Pranowo Mahfud MD continue to move forward,negatif,-0.4
1084,Ganjar Pranowo is a candidate to lead the commitment to advance the economic sector,postif,0.2
1085,Undergraduate poor family program on the road to social change dream of people Ganjar Pranowo Mahfud MD thank you step,negatif,-0.18333333333333335
1086,Ganjar Pranowo leads the inspiration of the people to fight educates Ganjar Mahfud motivates the people to fight,netral,0.0
1087,All of this is Pranowo's ganjar,netral,0.0
1088,Ganjar Pranowo is proof that children from poor families have the potential to achieve success,negatif,-0.03333333333333335
1089,Salute Ganjar Mahfud presidential candidate welcomes Sri Sultan respectful people welcome respectful people hopefully the administration of Gangar Mahfud will be smooth,postif,0.55
1090,vote step change let's vote ganjar pranowo prof mahfud md lead bring positive change according to values,postif,0.22727272727272727
1091,Ganjar Pranowo Gaspoll Ganjar Great Mahfud,postif,0.8
1092,Dancing and dancing are fun for young people who need a real program to help use their brains the Pranowo ganjar program,postif,0.20000000000000004
1093,Ganjar Pranowo Mahfud MD hopes to advance Indonesia's undergraduate poor family program,negatif,-0.4
1094,Support Ganjar Pranowo lead by Caring for Educate Blue,netral,0.0
1095,utami raharjo people people people why can't it?,netral,0.0
1096,Ganjar Pranowo Mahfud MD leads the vision of the quality level of human resources for successful students,postif,0.375
1097,ganjar Pranowo for leading like a ganjar for Mahfud's great happy children,postif,0.8
1098,smile off the road,postif,0.3
1099,Thank you for your patience,netral,0.0
1100,Pranowo Rosiannahi's ganjar mashaallah nature is truly a ganjar for Mahfud's great shaking,postif,0.8
1101,Ganjar Pranowo's simple background inspires people to achieve their dreams,netral,0.0
1102,poor family program graduate level solutions for family prosperity Ganjar Pranowo Mahfud MD success,negatif,-0.05000000000000002
1103,Yes what is Pranowo's ganjar for the great people's figure Mahfud,postif,0.8
1104,ganjar pranowo is proof of fighting the fruits of education,netral,0.0
1105,Ganjar Pranowo is a sincere figure of dedication to the welfare of the people,postif,0.5
1106,I WB TNI Polri continues to be vulnerable to freedom when I use exhaust you are stupid,negatif,-0.6499999999999999
1107,Presidential candidate serial number Pdip Ganjar Pranowo mourns vulnerable death in Klaten Regency,negatif,-0.5
1108,ganjar Pranowo educate proof of poor fate accept,negatif,-0.4
1109,Wejang sultan ganjar,netral,0.0
1110,support Ganjar Pranowo Mahfud MD install and bring change,netral,0.0
1111,ganjar Pranowo to lead and listen to act according to the needs of the people,netral,0.0
1112,Thank you very much Uncle Gangar for your commitment to fight for the people so that the presidential election contestation will win for the Indonesian realization program,postif,0.53
1113,Alhamdulillah thank God I hope that the excellent program for poor families graduates solutions to getting rid of poverty leveling the Indonesian economy continues to support Ganjarma,postif,0.3
1114,Ganjar Pranowo Mahfud MD is proof of the key educational skills to achieve progress in ZWAD,postif,0.125
1115,Hopefully the superior program will be realized in the city districts God willing we will win,postif,0.5833333333333334
1116,ganjar pranowo auliara really likes to see the cool cars of Pampang the works of the great people of Mahfud,postif,0.45
1117,Ganjar Pranowo's poor family program provides evidence that children have time,negatif,-0.4
1118,In the future the Indonesian people will have a bachelor's degree from the world,netral,0.0
1119,Created a chance to tara in the field of appreciation for efforts,netral,0.0
1120,Ganjar Pranowo Undergraduate Poor Family Program Evidence of Key Results,negatif,-0.2
1121,airanireii gajar pranowo amen may surnur artesian be a source of blessings for the people of muncang terrific mahfud,postif,0.45
1122,Javanese vocational program serious evidence Ganjar Pranowo creating jobs low poverty numbers Ganjar Mahfud let's have broad success,postif,0.06583333333333333
1123,smart program for the nation's children prosperous family the prospective leader's dream,postif,0.21428571428571427
1124,The results of the Javanese vocational program are evidence of Pranowo's ganjar for leading people's involvement in the development process,postif,0.3
1125,Teddy's cool narration is great he defends the Mbalelo people he learns from Jokowi's party,postif,0.575
1126,The future leader has a spirit of tolerance Moh Mahfud MD I hope you win great Mahfud,postif,0.5333333333333333
1127,Ganjar Pranowo Mahfud MD installed the vision of creating an intelligent superior Indonesia,postif,0.75
1128,Ganjar Pranowo's personal nature inspiration for people to hand over their dreams Ganjar Mahfud let's make Indonesia's dreams come true,postif,0.175
1129,alus lek great mahfud,postif,0.8
1130,Thank you for welcoming me in the middle of the rain,netral,0.0
1131,Prihatiutami Ganjar Pranowo has seen a very intelligent child polite simple nature Ganjar who thinks well is great Mahfud,postif,0.6
1132,Great people ganjared Sri Sultan with enthusiasm for success,postif,0.55
1133,dar temu historical momentum ganjar sri sultan one brings hope for the state,netral,0.0
1134,ganjar pranowo proof of educational milestones results reach the circle,postif,0.25
1135,Ganjar Pranowo Mahfud MD thank you for your real efforts at a healthy level of society good luck,postif,0.4666666666666666
1136,warm familiar atmosphere ganjar sri sultan gathered momentum to exist in peace,postif,0.4875
1137,Undergraduate poor family program is a step forward to change society's paradigm. Gajar Pranowo Mahfud MD good luck,postif,0.14999999999999997
1138,results of the ganjar for Pranowo Java's road capital program at the national level,netral,0.0
1139,Thank God Sowan Raja Java Sri Sultan Hamengku Buwono,netral,0.0
1140,ganjared Sri Sultan for the vision of building collaboration,netral,0.0
1141,Ganjar Pranowo's leadership inspires people's enthusiasm for change,netral,0.0
1142,Raharjo Ganjar Pranowo leads one Indonesian people to fight for the people to defend the people's important things,postif,0.4
1143,Ganjar Pranowo Mahfud MD pictures of advanced building foundation education,postif,0.4
1144,May it exist,netral,0.0
1145,wise harmony the light of Sri Sultan's Gathering,postif,0.55
1146,Javanese vocational program proof of success concept Ganjar Pranowo Ganjar Mahfud Let's realize National Level NPC results,postif,0.3
1147,Bellamy understands delete the tweet uncle slander you are a sin on the road,netral,0.0
1148,Undergraduate poor family program Smart Solutions Ganjar Pranowo Mahfud MD hopefully regional example steps,negatif,-0.09285714285714287
1149,Ganjar Pranowo Mahfud MD Thank you dedication create real solutions let's make positive change happen in Indonesia Nely,postif,0.21363636363636362
1150,Pranowo's ganjar is luxurious really classy ​​the creativity of Indonesian children is great Mahfud,postif,0.45
1151,ganjar pranowo leads with a spirit of justice ganjar mahfud installs and maintains justice in every corner of the country,netral,0.0
1152,historical moment to ganjar Sri Sultan's friendship with the idea of ​​advanced regional synergy,netral,0.0
1153,Dare to ganjar Pranowo against the poor leading example Mahfud MD let's work together to create a prosperous Indonesia,negatif,-0.4
1154,tvonenews ganjars Pranowo please go to jihad yesterday and defend yourself until you deny Israel the great world cup Mahfud,postif,0.8
1155,poor families with undergraduates ahead of the economic level of superior Indonesian students,postif,0.16666666666666666
1156,Coordinating Minister for Political Legal and Security Affairs earns a blind salary,negatif,-0.09999999999999999
1157,ganjar pranowo is proof of the results of hard work and quality education,negatif,-0.2916666666666667
1158,Sri Sultan supports Ganjar Mahfud,netral,0.0
1159,the spirit of chastising Pranowo against the poor appreciation of Mahfud MD let's support positive change in the country,negatif,-0.08636363636363638
1160,Ganjar Pranowo Mahfud MD sets the foundation for building success in fighting,postif,0.3
1161,Hopefully the undergraduate poor family program will be profitable and ganjar Pranowo Mahfud MD. Continue to hope,negatif,-0.4
1162,the city of Jogja Sri Sultan a simple friendly symbol,postif,0.1875
1163,erte bellamy tni hahahahaha your face looks so real people don't care what to do if you lose your life the law is not harsh I don't either,postif,0.16666666666666666
1164,It's easy for the Coordinating Minister for Political Legal and Security Affairs to eat a blind salary,postif,0.033333333333333326
1165,The results of the Javanese vocational program are evidence of Pranowo's innovative leadership,postif,0.4
1166,Jogja is special thank you for welcoming Ganjar Sri Sultan,postif,0.35714285714285715
1167,Kikidaliyo Ganjar Pranowo Ganjar Pimpin must be great Mahfud,postif,0.8
1168,Ganjar Pranowo leads students to understand investment and investment,netral,0.0
1169,Ganjar Pranowo Mahfud MD thank you for the positive initiative of the Undergraduate Poor Family Program Smart Steps at Prosperous Level,postif,0.013852813852813839
1170,Ganjar Pranowo thank God Ganjar great health Mahfud,postif,0.8
1171,clear vision ganjars guide Indonesia to bright investment in the education sector,postif,0.4
1172,Cool Gangar meets Sri Sultan Jam who is really meaty,postif,0.275
1173,Ganjar Pranowo Indonesian youth with potential in the creative industry sector let's help it become a real dream Mahfud,postif,0.2333333333333333
1174,Ganjar Pranowo's spirit of dedication against the poor Ganjar Mahfud's inspiration is a form of positive change in Indonesia,negatif,-0.08636363636363638
1175,support the candidate pair program with the serial number of Ganjar Mahfud,netral,0.0
1176,ganjar architects for changing education commitment to eliminating educational gaps,postif,0.25
1177,ganjar Pranowo figures for educational challenges ganjar Mahfud for raising hopes for national level challenges,postif,0.25
1178,Ganjar Pranowo Prof. Mahfud MD choose the power of the community to support students to become prosperous let's become a real vision,postif,0.2
1179,Ganjar Pranowo leads four people's fighting ideologies,netral,0.0
1180,investorfriendly installs presidential candidate vice presidential candidate Ganjar Pranowo Prof Mahfud MD Collaboration Meeting Legal Regulation Supports Indonesian Investment Development,postif,0.2
1181,Go forward ganjar your spirit and be healthy,postif,0.5
1182,Inspirational Ganjar Pranowo is proof of the obstacles to achieving Ganjar Mahfud's dreams of positive change,postif,0.22575757575757574
1183,inspiring action to ganjar persistent struggle for quality education,postif,0.3
1184,Ganjar Pranowo Mahfud MD installed to bring Indonesia to an advanced era,postif,0.4
1185,Ganjar Pranowo leads to change the fate of quality students,netral,0.0
1186,Undergraduate poor family program inclusive steps for students Ganjar Pranowo Mahfud MD successful change,postif,0.175
1187,the leader is the equal of the people his distance is familiar to the people and he is considered a brother of the people,postif,0.1875
1188,Utami Raharjo Grandma continues to support Gama,netral,0.0
